id,artist,title,bpm,category,yearReleased
1403,Cardi B,I Like It,68,R,2018
1404,Selena Gomez,Back To You,102,C,2018
1405,Selena Gomez,Back To You (Remix),124,R,2018
1406,5 Seconds Of Summer,Youngblood,120,C,2018
1407,Drake,In My Feelings (Remix),128,R,2018
1408,Drake,In My Feelings,91,R,2018
1409,DJ Khaled (f/Justin Bieber & Quavo),No Brainer,102,C,2018
1410,DJ Khaled (f/Justin Bieber & Quavo),No Brainer (Remix),120,C,2018
1411,Ariana Grande,God Is A Woman (Remix),126,C,2018
1412,Ariana Grande,No Tears Left To Cry,122,R,2018
1413,Ariana Grande,No Tears Left To Cry (Remix),126,R,2018
1414,Kygo x Miguel,Remind Me To Forget,99,R,2018
1415,Kygo x Miguel,Remind Me To Forget (Remix),123,R,2018
1416,Kygo x Miguel,Remind Me To Forget (Remix),102,R,2018
1417,The Chainsmokers (f/Emily Warren),Side Effects (Remix),124,R,2018
1418,The Chainsmokers (f/Emily Warren),Side Effects,110,R,2018
1419,Bebe Rexha,I’m A Mess,97,C,2018
1420,NF,Lie,95,C,2018
1421,NF,Lie (Remix),100,C,2018
1422,Juice WRLD,Lucid Dreams,84,C,2018
1423,Bryce Vine,Drew Barrymore,76,C,2018
1424,Tiesto & Dzeko (f/Post Malone),Jackie Chan,128,C,2018
1425,Charlie Puth,The Way I Am,115,R,2018
1426,Charlie Puth,The Way I Am (Remix),122,R,2018
1427,Benny Blanco (f/Khalid & Halsey),Eastside,90,C,2018
1428,Madison Beer,Home With You,90,R,2018
1429,Imagine Dragons,Natural,100,C,2018
1430,Sabrina Carpenter,Almost Love (Remix),121,C,2018
1431,Sabrina Carpenter,Almost Love,105,R,2018
1432,Bazzi,Beautiful (Remix),122,C,2018
1433,Lovelytheband,Broken,123,C,2018
1434,Alessia Cara,Growing Pains,96,R,2018
1435,Alessia Cara,Growing Pains,105,R,2018
1438,Ella Mai,Boo'd Up,82,R,2018
1439,Calvin Harris (f/Sam Smith),Promises,123,C,2018
1440,Clean Bandit (f/Demi Lovato),Solo,123,R,2018
1441,Clean Bandit (f/Demi Lovato),Solo,105,R,2018
1442,Drake,Nice For What,93,R,2018
1443,Drake,Nice For What (Remix),124,R,2018
1444,Anne Marie,2002,95,R,2018
1445,Anne Marie,2002 (Remix),124,R,2018
1446,Tyga (f/Offset),Taste,98,R,2018
1447,Logic (f/Ryan Tedder),One Day,95,R,2018
1448,Jonas Blue (f/Jack & Jack),Rise (Remix),125,R,2018
1449,Jason Derulo & David Guetta (f/Nicki Minaj),Goodbye,103,R,2018
1450,Martin Garrix (f/Khalid),Ocean (Remix),126,R,2018
1451,Backstreet Boys,Don't Go Breaking My Heart,95,R,2018
1452,Backstreet Boys,Don't Go Breaking My Heart (Remix),105,R,2018
1453,Backstreet Boys,Don't Go Breaking My Heart (Remix),118,R,2018
